" Domaine Saint Prefert"," Cuvee Speciale Vielles Clairetters",varietal
"Clos Saint Vincent",Bellet,varietal
"Abbatucci Ajaccio",Vermentinu,varietal
Turley,"White Zinfandel",varietal
"Château D'Esclans",Rose,varietal
"Domaine de la Reuilly","Pinot Grigio",varietal
"Ballard Lane","Pinot Noir",varietal
"Evesham Wood Vineyards","Pinot Noir",varietal
"ZD Wines","Pinot Noir",varietal
"Domaine Hudelot-Noellat","Pinot Noir",varietal
"Allain Graillot",Syrah,varietal
Turley,Cinsault,varietal
Neyers,"Rhone Red Blends",varietal
"Domaine Le Clos de Caveau","Rhone Red Blends",varietal
"Domaine Lucien Barrot et fils","Rhone Red Blends",varietal
"Peay Vineyards",Syrah,varietal
Tardieu-Laurent,"Rhone Red Blends",varietal
"J.L. Chave Selections","Rhone White Blends",varietal
"Domaine Romaneaux-Destezet","Sainte Epine",varietal
" Charles de Fere",Rose,varietal
"Domaine Carneros",Champagne,varietal
"Domaine Louis Cheze",Syrah,varietal
"Cascina Ca'Rossa",Nebbiolo,varietal
Malvira,Nebbiolo,varietal
Braida,"Red Blend",varietal
"La Spinetta",Nebbiolo,varietal
"Tenuta Grillo","Red Wine",varietal
"Domenico Clerico",Nebbiolo,varietal
"Antichi Vigneti Di Cantalupo","Red Wine",varietal
"Cantine Sant Agata",Ruche,varietal
"Canalicchio di Sopra",Sangiovese,varietal
"Canalicchio di Sopr Riserva",Sangiovese,varietal
"Cinelli Colombini Riserva","Other Red Blends",varietal
"Col d'Orcia",Sangiovese,varietal
"Angelo Gaja",Sangiovese,varietal
"Il Palazzone Riserva",Sangiovese,varietal
"Il Palazzone",Sangiovese,varietal
"II Paradiso di manfredi",Sangiovese,varietal
"II Paradiso di manfredi Riserva",Sangiovese,varietal
"La Fornace Diserva",Sangiovese,varietal
"Le Macioche",Merlot,varietal
"La Cerbaiola di Giulio Salvioni",Sangiovese,varietal
Valdicava,Sangiovese,varietal
"La Mozza","Other Red Blends",varietal
Bilaccio,"Other Red Blends",varietal
"Fattoria di Vignamaggio","Cabernet Franc",varietal
"Camartina Querciabella",Sangiovese,varietal
"Castello di Vicarello","Other Red Blends",varietal
"Castelrapiti Montellori",Sangiovese,varietal
"Cavaliere Satta",Sangiovese,varietal
"Isole e Elena",Sangiovese,varietal
"Classico Poggerino",Chianti,varietal
"Classico Selvole",Sangiovese,varietal
"Badia a Coltibuono",Sangiovese,varietal
Carpineto,Sangiovese,varietal
"Clemente VII Castelgreve",Sangiovese,varietal
"Berardenga Fattoria di Felsina",Sangiovese,varietal
"Casasilia Poggio al Sole","Chainti D.O.C.G",varietal
"Colli Senesi Pcina",Chianti,varietal
"Tenute Pierazzouli",Chianti,varietal
"Godiolo Riserva","Vino Nobile di Montepulciano",varietal
"Le Berne","Vino Nobile di Montepulciano",varietal
"I Greppi","Bordeaux Red Blends",varietal
"Piastraia Satta Michele","Bolgheri Rosso",varietal
"Sor Ugo Aia Vecchia","Bolgheri Superiore",varietal
"Castello di Bolgheri","Bolgheri Superiore",varietal
"Fattoria di Fubbiano","Colline Lucchesi",varietal
"Poggio Argentiera","Maremma Ciliegiolo",varietal
"Colli Massari","Montecucco Riserva",varietal
"Saragio Valdonica",Sangiovese,varietal
"Podere Forte","Orcia Petrucci",varietal
"Podere Casanova","Rosso di Montepulciano",varietal
"Casanova di Neri",Sangiovese,varietal
"Casanova dei Neri","Pietra d'Onice",varietal
"La Stoppa","Malvasia Di Candia",varietal
Ancarani,Albana,varietal
Denavolo,"Malvasia Di Candia",varietal
"La Collina","Malvasia Bianca",varietal
" Cordani"," Malvasia",varietal
