"Domaine Romaneaux-Destezet","Sainte Epine",varietal
"Domaine Romaneaux-Destezet",Syrah,varietal
"Domaine Romaneaux-Destezet",Gamay,varietal
"Domaine Romaneaux-Destezet","Rhone White Blends",varietal
"Domaine Romaneaux-Destezet",Roussanne,varietal
"Domaine Romaneaux-Destezet",Viognier,varietal
"Domaine Carneros",Champagne,varietal
"Domaine Carneros"," Ros",varietal
"Domaine Carneros","Pinot Noir",varietal
"Domaine Carneros",Rose,varietal
"Domaine Carneros","Champagne Blend",varietal
"Domaine Carneros","Sparkling Wine",varietal
"Domaine Carneros",Chardonnay,varietal
"Giacomo Vico",Nebbiolo,varietal
"Giacomo Vico",Arneis,varietal
"Giacomo Vico","Roero Arneis",varietal
"Giacomo Vico","Brachetto del Roero"" Birbet",varietal
"Giacomo Vico",Barbera,varietal
"Giacomo Vico",Chardonnay,varietal
"Domenico Clerico",Nebbiolo,varietal
"Domenico Clerico",Dolcetto,varietal
"Domenico Clerico",Barbera,varietal
"Masseria Li Veli",Verdeca,varietal
"Masseria Li Veli",Negroamaro,varietal
"Masseria Li Veli",Primitivo,varietal
"Masseria Li Veli",Fiano,varietal
"Masseria Li Veli",Susumaniello,varietal
"Masseria Li Veli",Susumaiello,varietal
"Masseria Li Veli",Aleatico,varietal
Colgin,Syrah,varietal
Colgin,"Bordeaux Red Blends",varietal
Colgin,"Cabernet Sauvignon",varietal
Colgin,"Bordeaux Blends",varietal
"Sine Qua Non",Syrah,varietal
"Sine Qua Non","Rhone White Blends",varietal
"Sine Qua Non","Other Dessert",varietal
"Sine Qua Non",Grenache,varietal
"Sine Qua Non","Other White Blends",varietal
"Sine Qua Non",Chardonnay,varietal
"Sine Qua Non","Pinot Noir",varietal
"Sine Qua Non",Roussanne,varietal
"Sine Qua Non",Gewürztraminer,varietal
"Sine Qua Non",Rose,varietal
"Sine Qua Non",Semillon,varietal
"Sine Qua Non",Marsanne,varietal
"Sine Qua Non","Rare White Blend",varietal
T-Vine,Zinfandel,varietal
T-Vine,Grenache,varietal
T-Vine,Charbono,varietal
"Gramercy Cellars",Syrah,varietal
"Gramercy Cellars","Cabernet Sauvignon",varietal
"Gramercy Cellars","GMS Blend",varietal
"Gramercy Cellars",Grenache,varietal
"Gramercy Cellars","Bordeaux Red Blends",varietal
"Gramercy Cellars","Rhone Red Blends",varietal
"Gramercy Cellars",Cinsault,varietal
"Gramercy Cellars",Tempranillo,varietal
"Gramercy Cellars",Viognier,varietal
"Gramercy Cellars","Bordeaux Blends",varietal
"Gramercy Cellars",Mourvedre,varietal
"Gramercy Cellars","Southern Rhone Red Blend",varietal
"Gramercy Cellars",Picpoul,varietal
"Forlorn Hope",Alvarelhao,varietal
"Forlorn Hope",Alvarelho,varietal
"Forlorn Hope",Verdelho,varietal
"Forlorn Hope",Valdiguié,varietal
"Forlorn Hope","Trousseau Gris",varietal
"Forlorn Hope",Gewürztraminer,varietal
"Forlorn Hope",Brancellao,varietal
"Forlorn Hope","Petite Sirah",varietal
"Forlorn Hope","Chenin Blanc",varietal
"Forlorn Hope",Barbera,varietal
"Forlorn Hope",Merlot,varietal
"Forlorn Hope",Semillon,varietal
"Forlorn Hope",Riesling,varietal
"Forlorn Hope","Portuguese Red Blend",varietal
"Forlorn Hope","Petit Verdot",varietal
"Forlorn Hope","Picpoul Blanc",varietal
"Forlorn Hope",Torrontes,varietal
